Variables,Type,Variables_name_ENG,Variables_name_KOR
SRM_Name,0,Species Range Model,서식영역모델
SRM_Name_Model,0,Modeling,모형구동
SRM_Name_Model_SDM,0,SDM Option,SDM모형 옵션
SRM_Name_Model_SRM,0,SRM Option,SRM모형 옵션
SRM_Name_CD_Models,0,Climate Models,기후모델
SRM_Name_CD_Models_list,1,CD_Models_list,CD_Models_list
SRM_Name_CD_Models_selected,0,KMA,KMA
SRM_Name_CD_Scenarios,0,Climate Scenarios,기후시나리오
SRM_Name_CD_Scenarios_list,1,CD_Scenarios_list,CD_Scenarios_list
SRM_Name_CD_Scenarios_selected,0,RCP4.5,RCP4.5
SRM_Name_CD_Year,0,Projecting Years,예측년도
SRM_Name_CD_Year_list,1,CD_Year_list,CD_Year_list
SRM_Name_CD_Year_selected,0,2000,2000
SRM_Name_MO_Type,0,Range Models,서식영역모델
SRM_Name_MO_Type_list,1,Range_Models_list,Range_Models_list
SRM_Name_MO_Type_selected,0,Buffer,서식반경
SRM_Name_Hull_Type,0,Hull Types,Hull Types
SRM_Name_Hull_Type_list,1,Hull_Types_list,Hull_Types_list
SRM_Name_Hull_Type_selected,0,convex,convex
SRM_Name_Hull_Cluster_Method,0,Hull Cluster Method,Hull Cluster Method
SRM_Name_Hull_Cluster_Method_list,1,Hull_Cluster_Method_list,Hull_Cluster_Method_list
SRM_Name_Hull_Cluster_Method_selected,0,hierarchical,hierarchical
SRM_Name_VoronoiHull_sampling_Type,0,VoronoiHull sampling Type,VoronoiHull sampling Type
SRM_Name_VoronoiHull_sampling_Type_list,1,Hull_VoronoiHull_sampling_Type_list,Hull_VoronoiHull_sampling_Type_list
SRM_Name_VoronoiHull_sampling_Type_selected,0,ratio,ratio
SRM_Name_SRM_MO_Action,0,Run,실행
SRM_Name_Model_Out,0,Model Outputs,모형결과
SRM_Name_Out_Plot,0,Species Range Plot,생물종 서식영역
DM_Name,0,Species Dispersal Model,종확산모형
DM_Name_Model,0,Modeling,모형구동
DM_Name_Model_SDM,0,SDM Option,SDM모형 옵션
DM_Name_Model_DM_Barrier,0,Dispersal Model Barrier Option,확산모형 장애물 옵션
DM_Name_Model_DM,0,Dispersal Model Option,확산모형 옵션
DM_Name_Model_Out,0,Model Outputs,모형결과
DM_Name_Out_Plot,0,Species Distribution Change Plot,생물종 분포 변화
DM_Name_Out_SDMDM_Plot,0,Species Dispersal Limit Plot,생물종 확산 한계
DM_Name_DM_MO_Barriers,0,DM_Barriers,장애물
DM_Name_DM_MO_Barriers_list,1,DM_Variables_list,DM_Variables_list
DM_Name_DM_MO_Barriers_selected,0,Landuse,Landuse
DM_Name_DM_MO_Barrier_Landuse,0,Landuse,토지이용
DM_Name_DM_MO_Barrier_Landuse_list,1,DM_Variables_Landuse_list,DM_Variables_Landuse_list
DM_Name_DM_MO_Barrier_Landuse_selected,0,Landuse_ssp1,Landuse_ssp1
DM_Name_DM_MO_Barrier_LanduseType,0,Landuse Type,토지이용 유형
DM_Name_DM_MO_Barrier_LanduseType_list,1,DM_Variables_LanduseType_list,DM_Variables_LanduseType_list
DM_Name_DM_MO_Barrier_LanduseType_selected,0,1,1
DM_Name_DM_MO_Barrier_Forestfire,0,forestfire,forestfire
DM_Name_DM_MO_Barrier_Landslide,0,landslide,landslide
DM_Name_Map_Landuse,0,Landuse Barrier Map,토지이용 장애물 지도
DM_Name_Map_Forestfire,0,Forestfire Barrier Map,산불 장애물 지도
DM_Name_Map_Landslide,0,Landslide Barrier Map,산사태 장애물 지도
DM_Name_Map_Total,0,Total Barrier Map,전체 장애물 지도
DM_Name_DM_MO_Slider,0,Select a dispersal distance,확산거리를 입력하세요
DM_Name_DM_MO_Action,0,Run,실행
DM_Name_DM_Models,0,Dispersal Models,확산모델
DM_Name_DM_Models_list,1,DM_Models_list,DM_Models_list
DM_Name_DM_Models_selected,0,MIGCLIM,MIGCLIM
DM_Name_CD_Models,0,Climate Models,기후모델
DM_Name_CD_Models_list,1,CD_Models_list,CD_Models_list
DM_Name_CD_Models_selected,0,KMA,KMA
DM_Name_CD_Scenarios,0,Climate Scenarios,기후시나리오
DM_Name_CD_Scenarios_list,1,CD_Scenarios_list,CD_Scenarios_list
DM_Name_CD_Scenarios_selected,0,RCP4.5,RCP4.5
DM_Name_CD_Year,0,Projecting Years,예측년도
DM_Name_CD_Year_list,1,CD_Year_list,CD_Year_list
DM_Name_CD_Year_selected,0,2000,2000
DM_Name_models,0,Model types,모델유형
DM_Name_models_list,1,SDM_models_list,SDM_models_list
DM_Name_models_selected,0,GLM,GLM
DM_Name_EMmodels,0,Ensemble,앙상블
DM_Name_models_run,0,Run,실행
DM_Name_models_out,0,Model types,모델유형
DM_Name_models_out_list,1,SDM_models_out_list,SDM_models_out_list
DM_Name_models_out_selected,0,GLM,GLM
DM_Name_CD_Models_out,0,Climate Models,기후모델
